company_name,sector,offer_price,shares_offered,underwriter_reputation,market_conditions,company_revenue,company_age_years,num_employees,exchange,ipo_outcome
ThriveGlobal33,Healthcare,24.37,10796312,3,Bull,201.21,68,518,NASDAQ,Success
AlphaNetworks34,Finance,7.85,21567613,7,Neutral,1.54,11,10,NASDAQ,Failure
BetaInnovations35,Technology,23.91,6435402,6,Bull,6.36,42,26,NYSE,Success
GammaPartners36,Technology,9.64,5124722,5,Bear,1.48,46,19,NASDAQ,Failure
DeltaEnterprises37,Finance,16.58,6853960,6,Neutral,36.21,74,208,NYSE,Success
OmegaDigital38,Technology,31.42,5212597,5,Neutral,32.98,48,144,NYSE,Success
NovaAnalytics39,Consumer Goods,22.5,3437308,5,Bull,68.47,1,333,NASDAQ,Success
ApexRobotics40,Finance,8.82,3174542,5,Neutral,193.21,23,303,NASDAQ,Success
ZenithBio41,Industrials,14.35,1176824,4,Bear,51.21,47,101,NASDAQ,Success
VertexPharma42,Consumer Goods,9.48,7564066,4,Bull,22.1,30,136,NASDAQ,Success
QuantumCapital43,Healthcare,8.61,3168298,4,Neutral,54.25,38,144,NASDAQ,Success
NexusEnergy44,Industrials,21.3,13929493,6,Neutral,26.03,76,57,NYSE,Failure
PulseHealth45,Industrials,26.58,8163110,2,Bull,5.95,75,39,NYSE,Success
VortexCorp46,Healthcare,25.04,1748114,7,Neutral,229.69,22,599,NASDAQ,Failure
CipherInc47,Healthcare,27.15,11372299,6,Neutral,103.22,15,277,NASDAQ,Success
HelixTechnologies48,Consumer Goods,19.97,252523,3,Bear,479.81,77,2284,NYSE,Failure
PrismSystems49,Technology,17.52,22527013,9,Bear,8.54,44,115,NASDAQ,Success
FluxSolutions50,Technology,11.75,857309,6,Bull,4.84,48,49,NYSE,Failure
AetherGroup51,Technology,16.12,5363418,3,Bull,13.41,14,77,NYSE,Failure
TitanHoldings52,Industrials,10.37,5012353,9,Bull,99.31,52,588,NYSE,Success
OrionLabs53,Consumer Goods,13.16,10056370,8,Bear,198.03,69,552,NASDAQ,Success
StellarDynamics54,Consumer Goods,21.0,2353238,4,Bull,83.88,11,234,NYSE,Failure
CrestVentures55,Industrials,18.94,382499,5,Bear,67.72,27,163,NYSE,Success
SummitGlobal56,Finance,92.98,2356556,5,Bear,196.72,33,343,NASDAQ,Success
PinnacleNetworks57,Energy,10.25,2625646,2,Bull,27.41,37,171,NYSE,Failure
HorizonInnovations58,Technology,18.87,421176,6,Neutral,266.31,18,305,NYSE,Success
EclipsePartners59,Technology,9.86,3420754,7,Bear,1072.26,56,1459,NYSE,Failure
RadiantEnterprises60,Consumer Goods,16.55,1114758,7,Bear,11.09,18,45,NASDAQ,Success
ForgeDigital61,Finance,16.89,6256209,6,Bear,37.3,22,68,NYSE,Success
CatalystAnalytics62,Energy,30.64,2555913,7,Bull,6.79,45,31,NASDAQ,Success
SynergyRobotics63,Industrials,16.04,23233247,3,Bear,12.84,10,63,NYSE,Failure
MomentumBio64,Energy,18.25,2530231,9,Neutral,98.38,68,489,NASDAQ,Success
ElevatePharma65,Energy,16.2,5027288,4,Neutral,4.36,36,22,NASDAQ,Failure
IgniteCapital66,Energy,9.97,2641687,4,Neutral,16.96,78,78,NASDAQ,Failure
ThriveEnergy67,Healthcare,14.5,644823,4,Bull,265.19,30,305,NASDAQ,Failure
AlphaHealth68,Technology,16.59,2663860,4,Neutral,76.34,2,130,NASDAQ,Success
BetaCorp69,Finance,20.84,6944172,5,Bull,172.78,29,177,NYSE,Success
GammaInc70,Technology,26.56,5968402,5,Bull,7.84,51,69,NASDAQ,Success
DeltaTechnologies71,Finance,17.86,2438106,6,Bull,60.44,1,169,NASDAQ,Success
OmegaSystems72,Real Estate,17.71,761651,4,Neutral,925.27,39,1950,NYSE,Success
NovaSolutions73,Technology,8.5,6227332,6,Bear,20.23,63,111,NYSE,Success
ApexGroup74,Technology,26.31,4972765,3,Neutral,26.26,72,156,NYSE,Failure
ZenithHoldings75,Healthcare,14.18,7598115,7,Bear,130.65,60,999,NASDAQ,Failure
VertexLabs76,Healthcare,29.18,2485259,7,Neutral,14.16,20,64,NASDAQ,Success
QuantumDynamics77,Consumer Goods,38.79,606600,5,Bear,160.11,57,302,NASDAQ,Success
NexusVentures78,Energy,18.28,5574761,4,Bear,3.69,63,36,NYSE,Failure
PulseGlobal79,Industrials,12.04,3239265,6,Bull,1.44,33,49,NASDAQ,Success
VortexNetworks80,Consumer Goods,19.92,13146732,4,Neutral,87.5,53,204,NYSE,Failure
CipherInnovations81,Finance,23.91,3364308,6,Bear,12.56,40,40,NASDAQ,Failure
HelixPartners82,Industrials,17.15,3123713,5,Bull,23.37,33,27,NASDAQ,Failure
PrismEnterprises83,Technology,15.15,4961677,10,Bull,203.35,54,185,NASDAQ,Success
FluxDigital84,Technology,26.62,1799589,3,Bull,139.26,78,784,NASDAQ,Failure
AetherAnalytics85,Technology,25.76,1714898,1,Bull,8.66,77,42,NYSE,Failure
TitanRobotics86,Consumer Goods,16.89,2964161,4,Bear,119.06,2,193,NYSE,Success
OrionBio87,Finance,8.78,1302236,2,Bear,34.8,23,130,NYSE,Success
StellarPharma88,Technology,25.23,2599694,4,Neutral,102.07,67,1107,NYSE,Failure
CrestCapital89,Finance,13.69,22738301,3,Bear,52.97,60,180,NASDAQ,Failure
SummitEnergy90,Technology,22.36,9273150,4,Neutral,5.72,59,88,NASDAQ,Failure
PinnacleHealth91,Consumer Goods,21.66,4448323,3,Neutral,18.73,50,50,NASDAQ,Success
HorizonCorp92,Finance,7.81,15427732,7,Neutral,1.46,35,32,NASDAQ,Failure
EclipseInc93,Healthcare,20.92,1432746,5,Bull,72.08,51,173,NYSE,Failure
RadiantTechnologies94,Healthcare,25.98,39445868,8,Bear,99.02,67,200,NYSE,Failure
ForgeSystems95,Energy,27.62,2062640,6,Bull,18.98,8,51,NYSE,Failure
CatalystSolutions96,Healthcare,21.3,24247059,7,Neutral,45.9,1,137,NASDAQ,Failure
SynergyGroup97,Technology,7.47,24140537,5,Bull,12.67,62,98,NASDAQ,Success
MomentumHoldings98,Technology,38.04,566238,9,Bear,359.46,6,645,NASDAQ,Success
ElevateLabs99,Telecommunications,24.67,14176442,6,Neutral,7.93,33,73,NYSE,Failure
IgniteDynamics100,Real Estate,11.0,2461030,4,Neutral,34.24,10,89,NASDAQ,Failure
ThriveVentures101,Consumer Goods,13.55,1852472,7,Bull,7.79,27,40,NYSE,Success
AlphaGlobal102,Healthcare,22.55,5524139,6,Bear,77.65,15,186,NYSE,Success
BetaNetworks103,Telecommunications,28.22,1193122,5,Bear,259.12,35,1564,NASDAQ,Failure
GammaInnovations104,Industrials,15.74,5400472,6,Neutral,2.43,2,26,NASDAQ,Success
DeltaPartners105,Consumer Goods,30.35,1275955,7,Neutral,145.62,70,461,NASDAQ,Success
OmegaEnterprises106,Finance,8.2,3902310,1,Bull,631.01,57,1118,NYSE,Failure
NovaDigital107,Healthcare,11.93,12426757,5,Neutral,66.25,53,160,NYSE,Failure
ApexAnalytics108,Technology,7.16,4811492,7,Bull,19.84,63,51,NASDAQ,Failure
ZenithRobotics109,Real Estate,12.82,2281191,6,Bull,51.57,1,341,NASDAQ,Success
VertexBio110,Finance,42.69,5617577,3,Bull,24.08,44,43,NASDAQ,Success
QuantumPharma111,Technology,56.2,800922,1,Bull,1039.45,19,1598,NASDAQ,Failure
NexusCapital112,Healthcare,22.59,1412877,9,Bear,191.04,69,771,NYSE,Success
PulseEnergy113,Energy,14.6,2125951,5,Bull,210.75,56,232,NASDAQ,Success
VortexHealth114,Technology,17.98,7180289,9,Bull,1383.76,7,2633,NASDAQ,Failure
CipherCorp115,Real Estate,25.45,4905162,7,Bull,410.27,71,590,NASDAQ,Success
HelixInc116,Industrials,9.19,5582607,4,Neutral,45.51,48,162,NASDAQ,Success
PrismTechnologies117,Consumer Goods,15.09,3180717,1,Neutral,56.71,44,174,NASDAQ,Failure
FluxSystems118,Finance,41.16,1486448,5,Neutral,1881.22,11,997,NASDAQ,Success
AetherSolutions119,Energy,11.91,14477654,5,Neutral,18.01,48,107,NASDAQ,Success
TitanGroup120,Energy,13.81,1626931,6,Neutral,42.21,31,92,NASDAQ,Failure
OrionHoldings121,Energy,20.22,4970539,3,Bull,11.95,23,44,NYSE,Failure
StellarLabs122,Technology,23.14,2922340,6,Neutral,3.57,18,26,NYSE,Success
CrestDynamics123,Finance,14.69,5740134,6,Bear,14.59,12,80,NYSE,Success
SummitVentures124,Technology,20.87,1784257,7,Bear,15.03,67,85,NASDAQ,Failure
PinnacleGlobal125,Finance,27.22,9366753,5,Neutral,21.38,36,132,NASDAQ,Success
HorizonNetworks126,Healthcare,53.56,12971664,6,Bull,136.78,22,111,NYSE,Failure
EclipseInnovations127,Technology,18.86,8809340,6,Bull,53.63,44,231,NASDAQ,Success
RadiantPartners128,Technology,19.68,3827128,7,Neutral,248.76,27,615,NASDAQ,Success
ForgeEnterprises129,Energy,43.11,2115654,4,Bear,68.47,46,167,NASDAQ,Success
CatalystDigital130,Technology,15.26,50000000,1,Bear,71.42,3,259,NYSE,Failure
SynergyAnalytics131,Real Estate,10.36,1212718,5,Neutral,35.27,16,207,NYSE,Failure
MomentumRobotics132,Energy,22.76,7890969,5,Neutral,1012.77,53,1211,NYSE,Failure
ElevateBio133,Healthcare,34.4,4559779,3,Neutral,28.93,7,226,NYSE,Failure
IgnitePharma134,Energy,24.06,3070842,2,Bull,215.95,79,970,NYSE,Failure
ThriveCapital135,Technology,19.13,3933982,4,Neutral,9.27,27,57,NASDAQ,Success
AlphaEnergy136,Telecommunications,9.74,1962607,5,Neutral,37.89,46,75,NASDAQ,Success
BetaHealth137,Finance,19.51,5010546,6,Neutral,1109.16,65,5927,NASDAQ,Failure
GammaCorp138,Industrials,37.21,4487581,1,Bull,152.56,39,478,NASDAQ,Failure
DeltaInc139,Technology,10.84,47567162,2,Bear,6.69,22,41,NYSE,Success
OmegaTechnologies140,Finance,17.77,9538265,8,Bull,11.61,69,59,NASDAQ,Success
NovaSystems141,Finance,16.55,5475985,5,Neutral,603.78,55,1636,NYSE,Failure
ApexSolutions142,Telecommunications,14.17,5812718,5,Bear,62.34,58,324,NASDAQ,Success
ZenithGroup143,Energy,22.74,20573978,3,Bear,36.13,21,131,NASDAQ,Failure
VertexHoldings144,Finance,25.07,1238700,5,Bull,16.97,7,40,NASDAQ,Failure
QuantumLabs145,Healthcare,24.94,2723061,5,Bear,33.92,19,213,NYSE,Failure
NexusDynamics146,Healthcare,12.32,485464,4,Bear,455.24,59,659,NYSE,Failure
PulseVentures147,Finance,8.82,5715965,3,Neutral,19.11,17,49,NASDAQ,Success
VortexGlobal148,Finance,22.9,7634391,4,Bear,22.13,63,88,NASDAQ,Failure
CipherNetworks149,Technology,15.6,1207907,9,Bull,134.2,35,298,NASDAQ,Success
HelixInnovations150,Industrials,50.36,13729811,5,Bear,11.48,25,67,NYSE,Failure
PrismPartners151,Real Estate,51.53,1592984,7,Bull,13.43,22,83,NASDAQ,Failure
FluxEnterprises152,Technology,54.34,2321053,5,Bear,55.12,6,146,NYSE,Failure
AetherDigital153,Energy,12.55,3684207,5,Bear,57.23,29,203,NYSE,Success
TitanAnalytics154,Technology,26.7,16097851,4,Bull,16.22,75,56,NYSE,Success
OrionRobotics155,Consumer Goods,31.05,1385819,8,Bull,111.03,47,473,NASDAQ,Success
StellarBio156,Healthcare,29.35,4374256,6,Neutral,75.81,63,304,NASDAQ,Success
CrestPharma157,Consumer Goods,16.82,7094552,4,Bear,2.83,67,31,NYSE,Success
SummitCapital158,Consumer Goods,38.08,5771659,5,Bull,176.05,57,403,NASDAQ,Failure
PinnacleEnergy159,Industrials,20.09,5988796,8,Bear,23.23,62,108,NASDAQ,Failure
HorizonHealth160,Technology,21.41,7000556,1,Bear,182.93,35,618,NASDAQ,Success
EclipseCorp161,Real Estate,9.31,1877172,6,Bull,1235.88,35,3199,NYSE,Failure
RadiantInc162,Technology,27.73,17677086,7,Bull,49.37,34,237,NASDAQ,Failure
ForgeTechnologies163,Technology,17.63,2925133,4,Bull,20.75,25,82,NASDAQ,Success
CatalystSystems164,Energy,25.34,2561623,6,Neutral,431.9,4,535,NYSE,Success
SynergySolutions165,Healthcare,22.59,12580084,7,Bull,15.51,53,89,NASDAQ,Success
MomentumGroup166,Industrials,21.99,1740065,3,Neutral,933.24,52,2203,NASDAQ,Success
ElevateHoldings167,Industrials,19.63,4503107,7,Bear,27.24,35,62,NASDAQ,Success
IgniteLabs168,Healthcare,29.76,1586697,6,Neutral,21.32,54,135,NYSE,Failure
ThriveDynamics169,Telecommunications,18.18,40598261,5,Neutral,1898.53,61,3353,NASDAQ,Success
AlphaVentures170,Healthcare,9.7,32889187,6,Bull,94.12,73,265,NYSE,Failure
BetaGlobal171,Finance,26.7,2927791,7,Bear,622.01,69,1414,NASDAQ,Failure
GammaNetworks172,Healthcare,13.4,5497792,10,Bull,52.49,28,284,NASDAQ,Success
DeltaInnovations173,Telecommunications,10.36,3286059,7,Bull,47.18,23,358,NASDAQ,Success
OmegaPartners174,Technology,12.05,2306866,7,Neutral,0.68,39,11,NYSE,Failure
NovaEnterprises175,Technology,23.14,3684448,6,Bull,249.03,31,546,NYSE,Failure
ApexDigital176,Finance,19.14,3138948,9,Neutral,97.31,54,393,NASDAQ,Success
ZenithAnalytics177,Telecommunications,6.91,714495,3,Neutral,46.17,3,83,NASDAQ,Success
VertexRobotics178,Real Estate,16.58,4252524,2,Bear,132.67,22,571,NASDAQ,Failure
QuantumBio179,Consumer Goods,36.04,3133644,6,Bear,57.83,35,98,NYSE,Success
NexusPharma180,Real Estate,16.03,4466878,7,Neutral,13.26,8,31,NASDAQ,Failure
PulseCapital181,Real Estate,18.49,3025183,1,Bull,94.06,36,614,NASDAQ,Failure
VortexEnergy182,Finance,33.83,2279942,5,Neutral,41.02,13,52,NASDAQ,Success
CipherHealth183,Healthcare,29.9,7841259,5,Bull,165.93,74,852,NYSE,Success
HelixCorp184,Industrials,33.48,5571274,7,Bull,35.86,9,289,NYSE,Success
PrismInc185,Consumer Goods,5.02,13204223,6,Bull,27.03,33,126,NASDAQ,Success
FluxTechnologies186,Healthcare,47.79,5361368,2,Bull,24.14,21,132,NASDAQ,Success
AetherSystems187,Technology,27.61,2682858,3,Bull,14.5,35,30,NASDAQ,Failure
TitanSolutions188,Consumer Goods,68.77,6057262,4,Neutral,24.93,59,78,NYSE,Failure
OrionGroup189,Healthcare,13.58,451074,7,Bear,104.36,27,367,NASDAQ,Failure
StellarHoldings190,Telecommunications,8.32,26793768,6,Neutral,17.73,59,91,NYSE,Success
CrestLabs191,Technology,20.16,4301094,4,Neutral,9.36,9,60,NASDAQ,Failure
SummitDynamics192,Technology,17.5,29047875,6,Neutral,178.41,79,553,NASDAQ,Success
PinnacleVentures193,Industrials,27.85,1370457,3,Neutral,44.38,49,158,NASDAQ,Failure
HorizonGlobal194,Technology,34.38,1069128,10,Neutral,172.78,74,248,NYSE,Success
EclipseNetworks195,Technology,19.23,4712990,7,Bull,39.24,17,169,NASDAQ,Success
RadiantInnovations196,Energy,17.81,4697470,7,Bull,23.16,56,53,NASDAQ,Failure
ForgePartners197,Real Estate,26.08,4584743,8,Bear,4.0,42,22,NASDAQ,Failure
CatalystEnterprises198,Technology,17.67,3936593,8,Bull,10.03,23,101,NYSE,Success
SynergyDigital199,Healthcare,16.95,1744333,6,Neutral,14.75,62,31,NASDAQ,Failure
MomentumAnalytics200,Industrials,33.74,740176,5,Bear,83.21,40,241,NASDAQ,Success
ElevateRobotics201,Telecommunications,37.71,4338983,8,Neutral,46.36,59,250,NYSE,Success
IgniteBio202,Finance,34.54,906555,6,Bull,11.73,2,78,NYSE,Failure
ThrivePharma203,Technology,18.47,824880,4,Neutral,0.84,9,14,NASDAQ,Failure
AlphaCapital204,Technology,6.89,2234142,9,Bull,109.28,64,227,NASDAQ,Success
BetaEnergy205,Technology,18.65,5028634,4,Bear,203.58,34,1004,NYSE,Success
GammaHealth206,Technology,13.75,23861079,2,Neutral,232.07,16,314,NASDAQ,Success
DeltaCorp207,Consumer Goods,18.82,8703704,7,Bear,12.84,64,86,NASDAQ,Failure
OmegaInc208,Technology,14.36,13704264,4,Neutral,254.74,13,673,NYSE,Success
NovaTechnologies209,Finance,19.88,6284907,6,Bull,127.62,1,243,NASDAQ,Success
ApexSystems210,Consumer Goods,11.95,4717802,9,Neutral,126.7,45,294,NASDAQ,Success
ZenithSolutions211,Energy,10.59,40056051,3,Bear,21.89,12,224,NYSE,Success
VertexGroup212,Technology,37.02,870779,5,Neutral,44.74,57,88,NASDAQ,Failure
QuantumHoldings213,Industrials,12.37,2162487,8,Bear,851.74,34,678,NASDAQ,Success
NexusLabs214,Consumer Goods,20.09,2338032,7,Bear,675.89,73,987,NYSE,Success
PulseDynamics215,Consumer Goods,32.37,7988847,5,Bear,50.78,41,214,NYSE,Failure
VortexVentures216,Technology,31.73,1228400,10,Bear,72.79,16,470,NASDAQ,Success
CipherGlobal217,Technology,29.89,7014076,5,Neutral,2.03,42,18,NYSE,Success
HelixNetworks218,Real Estate,23.37,5836546,6,Bull,332.27,52,341,NYSE,Success
PrismInnovations219,Healthcare,28.85,7373089,9,Neutral,167.08,72,467,NASDAQ,Failure
FluxPartners220,Healthcare,39.91,7240660,7,Bull,91.62,11,424,NYSE,Success
AetherEnterprises221,Finance,24.84,15223024,8,Bull,22.12,60,107,NASDAQ,Failure
TitanDigital222,Consumer Goods,8.02,3112044,4,Bear,60.32,49,255,NYSE,Failure
OrionAnalytics223,Telecommunications,15.42,5554716,8,Bear,492.07,77,413,NYSE,Success
StellarRobotics224,Healthcare,28.45,1565085,6,Neutral,93.97,47,144,NASDAQ,Failure
CrestBio225,Real Estate,14.68,1245696,4,Neutral,2828.5,78,3989,NYSE,Success
SummitPharma226,Technology,45.15,19092932,6,Bear,184.42,46,850,NYSE,Failure
PinnacleCapital227,Energy,19.46,1451170,6,Neutral,13.76,5,43,NYSE,Failure
HorizonEnergy228,Energy,20.96,6207768,9,Bear,29.48,10,126,NYSE,Success
EclipseHealth229,Technology,35.25,5559633,6,Bull,18.83,9,88,NASDAQ,Failure
RadiantCorp230,Technology,18.33,10585343,4,Neutral,197.66,43,302,NYSE,Success
ForgeInc231,Finance,21.94,622687,3,Bull,308.07,65,502,NASDAQ,Failure
CatalystTechnologies232,Telecommunications,31.49,7970095,5,Neutral,716.54,46,1405,NASDAQ,Failure
SynergySystems233,Energy,9.62,3084709,3,Bear,33.16,75,104,NASDAQ,Failure
MomentumSolutions234,Telecommunications,17.42,1794237,4,Bull,110.17,41,483,NASDAQ,Success
ElevateGroup235,Industrials,30.4,2543832,5,Neutral,372.65,55,684,NYSE,Success
IgniteHoldings236,Finance,20.76,9218941,5,Bull,558.22,17,1817,NASDAQ,Failure
ThriveLabs237,Industrials,41.83,6791894,7,Bull,8.62,1,38,NASDAQ,Failure
AlphaDynamics238,Technology,9.13,2876476,4,Bull,138.4,58,388,NASDAQ,Success
BetaVentures239,Technology,8.63,1046427,1,Neutral,9.12,8,70,NYSE,Success
GammaGlobal240,Industrials,29.51,1122933,2,Bull,22.14,77,86,NASDAQ,Failure
DeltaNetworks241,Industrials,30.97,6941511,5,Bear,7.69,78,34,NASDAQ,Failure
OmegaInnovations242,Technology,18.24,910963,4,Bear,21.51,18,86,NYSE,Failure
NovaPartners243,Finance,24.54,2904714,3,Neutral,6.21,8,56,NYSE,Success
ApexEnterprises244,Energy,29.15,47730068,9,Neutral,9.27,72,56,NASDAQ,Success
ZenithDigital245,Real Estate,13.37,5176091,7,Neutral,14.06,73,22,NASDAQ,Failure
VertexAnalytics246,Energy,14.11,6867077,5,Bear,86.03,44,183,NYSE,Failure
QuantumRobotics247,Finance,22.08,1131398,6,Bear,57.45,30,134,NASDAQ,Success
NexusBio248,Healthcare,31.56,958091,5,Neutral,4.64,37,39,NYSE,Success
PulsePharma249,Finance,11.21,7244999,3,Bull,3334.54,75,1866,NASDAQ,Success
VortexCapital250,Consumer Goods,18.19,2464866,8,Bull,26.24,45,120,NASDAQ,Success
CipherEnergy251,Real Estate,17.78,10570963,7,Neutral,7.43,16,56,NASDAQ,Success
HelixHealth252,Finance,24.75,3772065,2,Bull,130.82,55,504,NASDAQ,Failure
PrismCorp253,Technology,20.0,50000000,6,Bull,54.22,78,175,NASDAQ,Failure
FluxInc254,Technology,15.29,2038409,6,Bull,16.14,5,32,NYSE,Failure
AetherTechnologies255,Consumer Goods,37.5,4824084,5,Bull,98.09,42,257,NASDAQ,Success
TitanSystems256,Industrials,15.34,1477488,10,Neutral,19.91,43,176,NYSE,Success
OrionSolutions257,Technology,17.36,10140825,9,Bull,35.04,62,97,NASDAQ,Success
StellarGroup258,Technology,9.06,5612531,5,Bear,491.98,45,3136,NYSE,Success
CrestHoldings259,Energy,14.06,1381679,5,Bull,65.71,17,319,NYSE,Failure
SummitLabs260,Technology,26.0,2630580,5,Bear,137.16,49,355,NASDAQ,Success
PinnacleDynamics261,Industrials,23.58,14243835,4,Neutral,24.95,11,112,NYSE,Failure
HorizonVentures262,Healthcare,27.11,12631561,4,Neutral,68.7,43,266,NYSE,Success
EclipseGlobal263,Technology,26.46,878177,7,Bear,17.18,19,56,NYSE,Failure
RadiantNetworks264,Real Estate,57.05,2267141,9,Bear,16.08,80,58,NASDAQ,Failure
ForgeInnovations265,Technology,13.82,22328998,9,Bull,29.41,60,308,NASDAQ,Success
CatalystPartners266,Healthcare,8.94,3056625,7,Bear,19.26,60,173,NASDAQ,Failure
SynergyEnterprises267,Technology,11.88,4340163,1,Neutral,259.06,1,523,NASDAQ,Failure
MomentumDigital268,Technology,14.13,10088754,2,Neutral,130.15,35,248,NASDAQ,Success
ElevateAnalytics269,Technology,12.34,953446,8,Bull,1.75,56,10,NASDAQ,Success
IgniteRobotics270,Technology,21.05,1411696,9,Neutral,725.07,40,4223,NYSE,Success
ThriveBio271,Technology,37.57,2613761,7,Neutral,142.84,9,657,NYSE,Success
AlphaPharma272,Technology,43.37,12050583,5,Neutral,303.96,43,1339,NASDAQ,Success
BetaCapital273,Energy,25.85,10016710,8,Neutral,42.25,54,115,NYSE,Success
GammaEnergy274,Consumer Goods,58.59,7420569,7,Neutral,5.81,58,25,NASDAQ,Success
DeltaHealth275,Healthcare,16.81,3143476,8,Bull,7.49,25,26,NASDAQ,Failure
OmegaCorp276,Healthcare,8.88,11179247,2,Bull,706.89,47,290,NYSE,Failure
NovaInc277,Finance,34.01,3101370,6,Neutral,4.75,73,19,NYSE,Failure
ApexTechnologies278,Real Estate,8.01,6439542,9,Bear,6.24,77,42,NASDAQ,Success
ZenithSystems279,Real Estate,13.77,8993736,7,Neutral,28.52,26,125,NASDAQ,Success
VertexSolutions280,Technology,26.05,19713614,7,Bull,6.84,55,28,NASDAQ,Success
QuantumGroup281,Technology,19.08,3414956,6,Bull,121.48,73,480,NASDAQ,Success
NexusHoldings282,Technology,18.26,2514010,6,Neutral,136.48,7,271,NYSE,Failure
PulseLabs283,Technology,11.13,13191396,8,Bull,101.55,46,441,NASDAQ,Success
VortexDynamics284,Energy,19.98,14244089,4,Bear,21.73,61,131,NASDAQ,Success
CipherVentures285,Finance,33.18,2098273,4,Bull,84.2,18,390,NASDAQ,Failure
HelixGlobal286,Technology,20.29,1196565,5,Neutral,792.63,24,1601,NYSE,Failure
PrismNetworks287,Healthcare,13.26,12225499,6,Bull,6.35,69,24,NYSE,Failure
FluxInnovations288,Finance,10.76,699606,2,Neutral,291.5,14,382,NYSE,Failure
AetherPartners289,Technology,13.4,664771,7,Bull,183.46,25,162,NYSE,Failure
TitanEnterprises290,Industrials,24.44,2762660,5,Neutral,46.62,67,237,NYSE,Failure
OrionDigital291,Technology,23.85,3621647,7,Bull,70.07,49,96,NASDAQ,Failure
StellarAnalytics292,Real Estate,13.46,1132624,1,Neutral,93.23,52,262,NYSE,Failure
CrestRobotics293,Technology,6.65,4081047,7,Bear,12.62,44,67,NASDAQ,Failure
SummitBio294,Industrials,24.78,4267207,8,Bull,4.72,31,17,NASDAQ,Failure
PinnaclePharma295,Real Estate,12.82,2022029,6,Bull,212.68,63,508,NYSE,Success
HorizonCapital296,Telecommunications,28.35,24976955,6,Neutral,8.44,24,52,NYSE,Success
EclipseEnergy297,Industrials,13.76,5024121,7,Neutral,10.59,21,46,NYSE,Success
RadiantHealth298,Industrials,12.26,10104475,8,Bull,25.19,37,127,NASDAQ,Success
ForgeCorp299,Energy,21.68,762064,7,Bull,83.66,11,206,NASDAQ,Success
CatalystInc300,Industrials,65.29,755517,7,Neutral,25.82,51,89,NYSE,Success
